Date,Name,Year,Letterboxd URI,Rating,decade,genre,liked
2025-08-08,The Monkey,2025,https://boxd.it/Gwiu,2.0,2020,"['Comedy', 'Horror']",no
2025-08-10,Final Destination Bloodlines,2025,https://boxd.it/l5y4,3.0,2020,"['Mystery', 'Horror']",no
2025-08-14,Naked Acts,1996,https://boxd.it/8baQ,4.0,1990,"['Comedy', 'Drama']",no
2025-08-23,The Piano Teacher,2001,https://boxd.it/2886,4.5,2000,"['Romance', 'Drama']",no
2025-08-31,Weapons,2025,https://boxd.it/EMTM,4.0,2020,"['Horror', 'Mystery']",no
2025-09-15,I Saw the TV Glow,2024,https://boxd.it/woVe,5.0,2020,"['Drama', 'Fantasy', 'Horror']",yes
2025-09-19,Benedetta,2021,https://boxd.it/gdNQ,3.5,2020,"['Drama', 'Romance', 'History']",no
2025-09-20,The Devils,1971,https://boxd.it/1inI,4.0,1970,"['Drama', 'History', 'Horror']",no
2025-10-08,Fascination,1979,https://boxd.it/1ncU,3.0,1970,['Horror'],no
2025-10-13,Body Bags,1993,https://boxd.it/1iNc,3.5,1990,"['TV Movie', 'Comedy', 'Horror', 'Science Fiction']",no
2025-10-15,Blithe Spirit,1945,https://boxd.it/1FLo,5.0,1940,"['Fantasy', 'Comedy']",no
2025-10-16,Lifeforce,1985,https://boxd.it/1SGw,3.5,1980,"['Action', 'Science Fiction', 'Horror', 'Mystery']",no
2025-10-17,Immaculate,2024,https://boxd.it/Douw,2.0,2020,"['Mystery', 'Thriller', 'Horror']",no
2025-10-19,The Incredibly True Adventure of Two Girls in Love,1995,https://boxd.it/1nDc,5.0,1990,"['Romance', 'Comedy', 'Drama']",yes
2025-10-23,Peacock,2024,https://boxd.it/Lm4s,3.5,2020,['Comedy'],no
2025-10-24,No Other Choice,2025,https://boxd.it/nKiA,4.5,2020,"['Crime', 'Comedy', 'Thriller']",no
2025-10-25,Sentimental Value,2025,https://boxd.it/GwcG,4.0,2020,"['Comedy', 'Drama']",no
2025-10-25,The Plague,2025,https://boxd.it/QMbO,4.0,2020,"['Horror', 'Drama']",no
2025-10-26,Frankenstein,2025,https://boxd.it/Ecsg,4.0,2020,"['Fantasy', 'Drama', 'Horror']",no
2025-10-26,Arco,2025,https://boxd.it/uh7C,4.0,2020,"['Science Fiction', 'Adventure', 'Animation', 'Fantasy']",no
2025-10-27,Hamnet,2025,https://boxd.it/woVy,4.5,2020,"['Drama', 'Romance']",no
2025-10-27,Romería,2025,https://boxd.it/IR3k,3.0,2020,['Drama'],no
2025-10-27,Rental Family,2025,https://boxd.it/JQOw,4.0,2020,"['Drama', 'Comedy']",no
2025-10-28,Mufasa: The Lion King,2024,https://boxd.it/sE9C,2.0,2020,"['Family', 'Adventure', 'Animation']",no
2025-10-30,Vampyres,1974,https://boxd.it/1kmW,3.0,1970,['Horror'],no
2025-11-05,Bugonia,2025,https://boxd.it/qeWY,3.5,2020,"['Science Fiction', 'Thriller', 'Crime']",no
2025-11-05,Chainsaw Man – The Movie: Reze Arc,2025,https://boxd.it/Kgyu,4.5,2020,"['Fantasy', 'Romance', 'Action', 'Animation']",no
2025-11-13,American Mary,2012,https://boxd.it/48WY,2.0,2010,"['Thriller', 'Horror']",no
