Date,Name,Year,Letterboxd URI,Rating,decade,genres,liked,tmdb_id,runtime,lang,keywords
2024-10-28,MaXXXine,2024,https://boxd.it/CIM4,3.0,2020,"['Horror', 'Thriller']",no,1023922,103,en,"['pornography', 'gore', 'sequel', 'murder', 'fame', 'slasher', 'hollywood', 'whodunit', 'los angeles, california', 'video store', 'horror filmmaking', 'stardom', 'murder mystery', '1980s', 'film production', 'televangelist', 'film within a film', 'aspiring actress', 'pastiche', 'satanic panic', 'night stalker', 'father daughter estrangement', 'religious trauma', 'mystery', 'intense', 'excited', 'scathing']"
2024-10-31,Tampopo,1985,https://boxd.it/1SZe,4.5,1980,['Comedy'],no,11830,115,ja,"['widow', 'restaurant', 'business woman', 'restaurant owner', 'bullying', 'sensei', 'food', 'truck driver', 'erotic vignettes', 'hoodlum', 'foodie', 'stealing recipes', 'eastern philosophy', 'ramen', 'food culture', 'small town cook', 'gastronomia', 'joyous', 'helping people', 'whimsical', 'ridiculous', 'japanese restaurant', 'ramen noodles']"
2024-11-02,Laura,1944,https://boxd.it/27Oq,4.5,1940,"['Drama', 'Mystery']",no,1939,88,en,"['jealousy', 'obsession', 'advertising expert', 'shotgun', 'detective', 'investigation', 'mistaken identity', 'romance', 'film noir', 'murder', 'whodunit', 'black and white', 'investigator', 'intrigue', 'portrait', 'police investigation', 'mysterious', 'murder mystery', 'murder suspect', '1940s', 'other woman', 'suspense']"
2024-11-03,The Night of the Hunter,1955,https://boxd.it/25HW,4.5,1950,"['Crime', 'Drama', 'Thriller']",no,3112,93,en,"['prison', 'robbery', 'based on novel or book', 'psychopath', 'widow', 'boat', 'fanatic', 'count', 'money', 'film noir', 'murder', 'religion', 'black and white', 'theft', 'preacher', 'gothic', 'doll', 'hymn', 'children on the run', 'ex-con', 'expressionism', 'stashed cash', 'southern gothic', 'secret', 'bluebeard']"
2024-11-05,Bunny Lake Is Missing,1965,https://boxd.it/27NW,4.5,1960,"['Mystery', 'Thriller']",no,1942,107,en,"['based on novel or book', 'baby-snatching', 'swing', 'psychological thriller', 'missing child', 'pre-school', 'anxious', 'suspenseful', 'tense', 'bold', 'distressing', 'frightened', 'gloomy']"
2024-11-11,Seconds,1966,https://boxd.it/1Dbe,4.0,1960,"['Science Fiction', 'Thriller', 'Horror']",no,20620,107,en,"['plastic surgery', 'black and white']"
2024-11-19,Werewolves Within,2021,https://boxd.it/u8fC,3.0,2020,"['Horror', 'Comedy']",no,800497,97,en,"['hotel', 'isolation', 'transformation', 'snowstorm', 'forest ranger', 'murder', 'werewolf', 'whodunit', 'power outage', 'based on video game', 'blizzard', 'lycanthrope', 'pipeline']"
2024-11-23,Alien: Romulus,2024,https://boxd.it/zGqO,3.5,2020,"['Horror', 'Science Fiction']",no,945961,119,en,"['alien life-form', 'sequel', 'alien', 'space', 'alien contact', 'alien monster', 'aggressive', 'alien encounter', 'space capsule', 'cryonics', 'alien hostility', 'spaceship', 'sci-fi horror', 'ambiguous']"
2024-11-27,The Pied Piper,1972,https://boxd.it/5Dz4,3.5,1970,"['Fantasy', 'Drama']",no,185949,90,en,"['revenge', 'witchcraft', 'based on fairy tale', 'plague', '14th century', 'piper']"
2024-11-30,Children of Men,2006,https://boxd.it/1Y2i,5.0,2000,"['Drama', 'Action', 'Thriller', 'Science Fiction']",no,9693,109,en,"['future', 'government', 'police state', 'based on novel or book', 'hippie', 'england', 'faith', 'chaos', 'refugee camp', 'rebel', 'dystopia', 'miracle', 'childlessness', 'survival', 'birth', 'alcoholic', 'bombing', 'dying', 'terrorist group', 'fertility', 'soldiers', 'violence', 'dystopian sci-fi']"
2024-12-04,Smile 2,2024,https://boxd.it/FDA4,3.5,2020,"['Horror', 'Mystery']",no,1100782,127,en,"['drug dealer', 'new york city', 'suicide', 'concert', 'delusion', 'trauma', 'hallucination', 'addiction', 'sequel', 'murder', 'curse', 'car accident', 'scar', 'demon', 'guilt', 'pop music', 'evil', 'sobriety', 'self-harm', 'delusional', 'popstar', 'smile', 'supernatural horror', 'body horror', 'psychological horror', 'tour', 'horror']"
2024-12-09,Vertigo,1958,https://boxd.it/2apI,4.0,1950,"['Mystery', 'Romance', 'Thriller']",no,426,128,en,"['plan', ""love of one's life"", 'sense of guilt', 'san francisco, california', 'suicide attempt', 'obsession', 'bachelor', 'detective', 'necklace', 'vertigo', 'museum', 'painting', 'insurance fraud', 'film noir', 'golden gate bridge', 'psychological thriller', 'rescue from drowning', 'technicolor', 'neo-noir', 'fear of heights', 'color film noir', 'hipnotismo', 'vistavision']"
2024-12-26,Dogville,2003,https://boxd.it/2a8W,4.5,2000,"['Crime', 'Drama', 'Thriller']",yes,553,178,en,"['friendship', 'bondage', 'rape', 'police', 'gangster', 'village life', 'refugee', 'blackmail', 'mountain', 'american dream', 'bank robber', 'last judgment', 'mountain village', 'exploitation', 'rocky mountains', 'woman martyr', 'physical work', 'wanted poster', 'forced labour', 'slavery', 'recession', 'art house', 'hoodlum', 'experimental film', 'avant garde film', 'art house film']"
2024-12-31,Humanist Vampire Seeking Consenting Suicidal Person,2023,https://boxd.it/Blzk,4.0,2020,"['Romance', 'Comedy', 'Fantasy', 'Horror']",no,988402,91,fr,"['friendship', 'suicide', 'suicide attempt', 'vampire', 'bite', 'hunger', 'bloodthirstiness', 'quebec', 'moral conflict', 'bullying', 'montreal, canada', 'coming of age', 'bully', 'revenge', 'relationship', 'compassion', 'will', 'teeth', 'macabre', 'suicide thoughts', 'forced', 'unlikely friendship', 'teen suicide', 'blood sucking', 'starving', 'woman director', 'bullied', 'revenge killing', 'moral dilemma', 'humanity', 'canine', 'improbable friendship', 'drinking blood', 'boy meets girl', 'humanism', 'consent', 'forced to kill', 'human vampire relationship', 'boy girl relationship', 'playful', 'french canadian', 'night', 'reluctant vampire', 'blood', 'teenager', 'absurd', 'revenge for bullying', 'take revenge', 'whimsical', 'compassionate', 'earnest']"
2025-01-02,Oddity,2024,https://boxd.it/K9pg,4.0,2020,"['Horror', 'Mystery']",no,1216191,98,en,"['mannequin', 'paranormal', 'murder', 'home invasion', 'twins', 'death of sister', 'clairvoyant', 'aggressive', 'oddities', 'blind woman', 'irish horror', 'antique shop', 'cruel', 'psychic medium']"
2025-01-02,28 Days Later,2002,https://boxd.it/2aXU,4.0,2000,"['Horror', 'Thriller', 'Science Fiction']",no,170,113,en,"['daughter', 'taxi', 'london, england', 'submachine gun', 'gas station', 'infection', 'outbreak', 'survival', 'laboratory', 'hospital', 'zombie', 'brutality', 'church', 'rage', 'epidemic', 'military', 'virus', 'hopeless', 'waking from coma', 'animal research', 'frightened']"
2025-01-12,The Wailing,2016,https://boxd.it/9fLy,4.0,2010,"['Horror', 'Mystery']",no,293670,156,ko,"['daughter', 'small town', 'police', 'investigation', 'exorcism', 'possession', 'murder', 'priest', 'rural area', 'curse', 'shaman', 'zombie', 'demon', 'shrine', 'occult', 'macabre', 'ghost', 'gluttony', 'shamanism', 'folk horror', 'acupuncture', 'divination', 'frightened']"
2025-01-18,The Bride Wore Black,1968,https://boxd.it/24Ia,3.0,1960,"['Crime', 'Drama', 'Mystery']",no,4191,107,fr,"['repayment', 'femme fatale', 'french noir']"
2025-01-18,The Servant,1963,https://boxd.it/VAa,4.5,1960,['Drama'],no,42987,116,en,"['london, england', 'servant', 'bachelor', 'manipulation', 'con man', 'role reversal', 'alcoholism', 'femme fatale', 'sexual humiliation', 'downfall', 'black and white', 'home invasion', 'alcohol abuse', 'seductress', 'cuckold', 'class prejudice', 'class conflict', 'manservant', 'psychosexual thriller', 'master servant relationship', 'british class system', 'downward spiral', 'moral corruption', 'mirrors', 'self-destructive behavior', 'homme fatale', 'seductive maid']"
2025-01-26,A Scanner Darkly,2006,https://boxd.it/25jK,4.0,2000,"['Animation', 'Science Fiction', 'Thriller']",no,3509,100,en,"['future', 'california', 'dreams', 'schizophrenia', 'based on novel or book', 'undercover', 'detective', 'dystopia', 'cocaine', 'exam', 'assignment', 'cyberpunk', 'drugs', 'surveillance', 'totalitarian', 'corporation', 'speculative', 'substance', 'condition', 'neo-noir', 'dubious']"
2025-01-29,Nosferatu,2024,https://boxd.it/f5eG,4.0,2020,"['Horror', 'Fantasy']",no,426063,133,en,"['cold', 'based on novel or book', 'vampire', 'necrophilia', 'eroticism', 'possession', 'würzburg', 'remake', 'gothic horror', 'desire', 'questioning', 'somnambulism', 'plague', '19th century', 'dread', 'drinking blood', 'complex', 'supernatural horror', 'period piece', '1830s', 'nightmares', 'amused']"
2025-02-02,Bunnylovr,2025,https://boxd.it/QxM6,3.0,2020,['Drama'],no,1364297,86,en,"['new york city', 'bunny', 'female friendship', 'female protagonist', 'brooklyn, new york city', 'woman director', 'sex worker', 'cam girl', 'asian american', 'independent film', 'gen z']"
2025-02-02,"Sorry, Baby",2025,https://boxd.it/JKNi,4.0,2020,"['Drama', 'Comedy']",no,1205515,103,en,"['rape', 'post-traumatic stress disorder (ptsd)', 'cat', 'professor', 'massachusetts', 'female friendship', 'jury duty', 'female protagonist', 'pregnant woman', 'healing process', 'sexual assault', 'meditative', 'female teacher', 'cautionary', 'student mentor relationship', 'independent film', 'grad school', 'nonbinary director']"
2025-02-06,My Brother's Wedding,1983,https://boxd.it/3dBE,4.5,1980,['Drama'],no,91735,81,en,['l.a. rebellion']
2025-02-12,Audition,1999,https://boxd.it/1UHm,4.0,1990,"['Horror', 'Drama']",no,11075,115,ja,"['sadism', 'man looking for wife', 'psychological thriller', 'torture', 'pretty woman']"
2025-02-17,Blade,1998,https://boxd.it/1a8A,4.0,1990,"['Horror', 'Action']",no,36647,121,en,"['martial arts', 'hero', 'vampire', 'superhero', 'supernatural', 'based on comic', 'rivalry', 'vampire hunter (slayer)', 'sword fight', 'revenge', 'tragic hero', 'one man army', 'martial arts master', 'scientist', 'super power', 'blade', 'secret headquarters', 'escapade', 'deadly', 'master warrior', 'urban gothic', 'good versus evil']"
2025-02-17,The Triplets of Belleville,2003,https://boxd.it/1Y6Y,4.0,2000,"['Animation', 'Comedy', 'Drama', 'Family']",no,9662,80,fr,"['france', 'kidnapping', 'biker', 'tour de france', 'mafia', 'dog', 'triplet', 'band singer', 'silent film', 'adult animation', 'old woman']"
2025-02-17,The Girl with the Needle,2024,https://boxd.it/KQ3M,3.0,2020,"['Drama', 'History']",no,1232827,123,da,"['based on true story', 'post world war i', 'black and white']"
2025-02-18,Longlegs,2024,https://boxd.it/KzLM,3.0,2020,"['Crime', 'Horror', 'Thriller']",no,1226578,101,en,"['homicide', 'fbi', 'religion and supernatural', 'haunting', 'satanism', 'barn', 'satanist', 'code', 'oregon, usa', 'flashback', 'murder', 'serial killer', 'religion', 'female protagonist', 'corpse', 'series of murders', 'violent death', 'killing spree', 'catholic', 'death', 'death in family', 'occult', 'macabre', 'satanic cult', 'clairvoyant', 'crime spree', 'rookie', 'crime investigation', 'manic', 'sadistic psychopath', 'unsettling', 'disturbed', 'scary doll', 'accomplice', '1990s', 'dread', 'creepy doll', 'psychological terror', 'singing in a car', 'haunted doll', 'homicide investigation', 'supernatural horror', 'female investigator', 'police procedural', 'children in danger', 'criminal plot', 'psychological horror', 'horrific crime', 'suspenseful', 'intense']"
2025-02-18,Safe,1995,https://boxd.it/1gKU,3.5,1990,['Drama'],no,32646,119,en,"['pollution', 'quarantine', 'chemical', 'allegory', 'housewife', 'medicine', 'suburbia', 'female protagonist', 'allergy', 'disease', 'psychiatrist', 'illness', 'san fernando valley', 'disorder', 'retreat', '1980s', 'enviromentalism', 'multiple chemical sensitivity (mcs)', 'environmental illness', 'chronic illness']"
2025-02-19,Dark Waters,2019,https://boxd.it/kaYu,3.5,2010,"['Drama', 'Thriller']",no,552178,127,en,"['pollution', 'grave', 'biography', 'based on true story', 'lawsuit', 'west virginia', 'cancer', 'lawyer', 'biting', 'farmer', 'water pollution', 'government corruption', 'mysterious', 'paranoid', 'grim', '1990s', 'somber', 'based on magazine, newspaper or article', 'anxious', 'legal thriller', 'chemical contamination', 'blood test', 'clinical', 'suspenseful', 'critical', 'foreboding', 'ominous']"
